equilibrium,n_i,n_j,FC,player,action,probability
0,0,2,5,2,1,0.017980176260831666
0,0,2,5,1,2,0.00032931841554918365
0,0,2,5,2,2,0.00032931841554918365
0,0,2,5,1,3,6.031677178608951e-06
0,0,2,5,2,3,6.031677178608951e-06
0,0,2,5,1,4,1.1047402109682056e-07
0,0,2,5,2,4,1.1047402109682056e-07
0,0,2,5,1,5,2.023402276995767e-09
0,0,2,5,2,5,2.023402276995767e-09
0,0,2,5,1,6,3.7059905432096956e-11
0,0,2,5,2,6,3.7059905432096956e-11
0,0,2,5,1,7,6.787758451449261e-13
0,0,2,5,2,7,6.787758451449261e-13
0,0,2,5,1,8,1.2432213266069819e-14
0,0,2,5,2,8,1.2432213266069819e-14
0,0,2,5,1,9,2.2770392876906535e-16
0,0,2,5,2,9,2.2770392876906535e-16
0,0,2,5,1,10,4.170542932880251e-18
0,0,2,5,2,10,4.170542932880251e-18
0,0,2,5,1,11,7.638615832859703e-20
0,0,2,5,2,11,7.638615832859703e-20
0,0,2,6,1,0,0.9932620530009145
0,0,2,6,2,0,0.9932620530009145
0,0,2,6,1,1,0.0066925470693229815
0,0,2,6,2,1,0.0066925470693229815
0,0,2,6,1,2,4.5094027441983025e-05
0,0,2,6,2,2,4.5094027441983025e-05
0,0,2,6,1,3,3.038411668793872e-07
0,0,2,6,2,3,3.038411668793872e-07
0,0,2,6,1,4,2.047265678573594e-09
0,0,2,6,2,4,2.047265678573594e-09
0,0,2,6,1,5,1.3794367635275619e-11
0,0,2,6,2,5,1.3794367635275619e-11
0,0,2,6,1,6,9.294571801238705e-14
